"ADDRESS_ID","ADDRESS","VALUE","LAST_TX","TX_ID"
"94","1EDV8iD4cDZbKxZu6UGAPW5i2ytQmR5xoQ","50","vout","48"
"95","coinbase","-1","04ffff001d024e01","49"
"96","1Mdioqy6kR75YvHhf7eqhTsRxoYfQfhbgn","50","vout","49"
"97","coinbase","-1","04ffff001d025601","50"
"98","13F1h7nLa4bgwgvjnRnBYh5cn1kpT4Mo2p","50","vout","50"
"99","coinbase","-1","04ffff001d0109","51"
"100","1JV9ZQX6cCd4YrUtHHQm9iDL6cMxP3oQ3J","50","vout","51"
"101","coinbase","-1","04ffff001d026902","52"
"102","1Kz7UyXbgSxL83hN8jArHqQcE1obqsK1B4","50","vout","52"
"103","coinbase","-1","04ffff001d024f02","53"
"104","1GciAZF9X4HWfwXpTvJWLxrjEDWsLJcZ5J","50","vout","53"
"105","coinbase","-1","04ffff001d025702","54"
"106","1Ami8JxY2Yc1FWuQVnWscron1D2PiWxskP","50","vout","54"
"107","coinbase","-1","04ffff001d027e02","55"
"108","12DjDWvXifrxizvn7rdQdYqrq9jnY6iA4F","50","vout","55"
"109","coinbase","-1","04ffff001d028302","56"
"110","1AUsn9BUs7RaxdPoHuyfDgZ2uQ6kWHRonh","50","vout","56"
"111","coinbase","-1","04ffff001d02b202","57"
"112","1FbaHimqo6FAQbyrnUjiMutgwpocLDw4bS","50","vout","57"
"113","coinbase","-1","04ffff001d027302","58"
"114","1FqZ84KUqEE7qJVRRTauLXYRjt1JfyPo71","50","vout","58"
"115","coinbase","-1","04ffff001d02bb02","59"
"116","1EiMGeZVJ9f3Zuokp4KWj3PQuowZgQXUeM","50","vout","59"
"117","coinbase","-1","04ffff001d02c602","60"
"118","1MqArsr33cxhnpYdsjJApjui1BhnzAwihX","50","vout","60"
"119","coinbase","-1","04ffff001d0116","61"
"120","1PEsXxy7kVSPL3Sqw9q4HPkbM368tGTYcx","50","vout","61"
"121","coinbase","-1","04ffff001d02cc02","62"
"122","1tCYRLM1bAjSy2NrBp5HnLKAx5zprtDkT","50","vout","62"
"123","coinbase","-1","04ffff001d0140","63"
"124","15ATbhqgqxkGen8ZLsb2BEbQzw3ymdzbQ9","50","vout","63"
"125","coinbase","-1","04ffff001d025902","64"
"126","19mRUvwRVueDy7rap4fQDkzz9XUa5rhso1","50","vout","64"
"127","coinbase","-1","04ffff001d028400","65"
"128","1ELmSkQWnqgbBZNzxAZHts3MEYCngqRBeD","50","vout","65"
"129","coinbase","-1","04ffff001d026702","67"
"130","16ucnLgySRLYy2mvBuXFZPZCRM8DoFY46W","50","vout","67"
"131","coinbase","-1","04ffff001d027c02","66"
"132","1LTLwGgVR4ey139PezChWfFWbZnGVCEmym","50","vout","66"
"133","coinbase","-1","04ffff001d022c05","68"
"134","17ysQmqZCWb4WMCXueWfQ7LK9W53GELp9s","50","vout","68"
"135","coinbase","-1","04ffff001d025105","69"
"136","1zL84Kf5T6KKQwTCWZiVoo9GSV57ChdUt","50","vout","69"
"137","coinbase","-1","04ffff001d029b07","70"
"138","1PjPzeprKwrT25AMGEEKWirpbZupk1aHSo","50","vout","70"
"139","coinbase","-1","04ffff001d02b707","71"
"140","1ELnjbTsUWVZFp2rwAXPJs6hxdC7wG99i9","50","vout","71"
"141","coinbase","-1","04ffff001d02a607","72"
"142","1Gx9f19Vzm7hdcZwf36iYdKhR57voQU3j1","50","vout","72"
"143","coinbase","-1","04ffff001d0107","73"
"144","1PsUpBKZJeMkWJcQP1P3ficpVh3XxCzL3o","50","vout","73"
"145","coinbase","-1","04ffff001d010d","74"
"146","1HuNwnDbDbmoYvjz6nwC9U4kwBneFE5ksP","50","vout","74"
"147","coinbase","-1","04ffff001d024101","77"
"148","1JrHnX1BKH7dBLJVm1YqnCaGpsUXD7y6Co","50","vout","77"
"149","coinbase","-1","04ffff001d024301","76"
"150","16c44JhQegiNQmZevfQWscS4SbT1tZ8BGd","50","vout","76"
"151","coinbase","-1","04ffff001d0175","75"
"152","1PyKe5Dokd9T6WMq1Wjc4mZ99v88dCKJWe","50","vout","75"
"153","coinbase","-1","04ffff001d016f","78"
"154","1Dvaq4cde41Bz5KUKbYEjBhHbZVsvSFgV3","50","vout","78"
"155","coinbase","-1","04ffff001d024401","79"
"156","1H44ka896uxwe3mf4m4mntEuZ11F8HA62J","50","vout","79"
"157","coinbase","-1","04ffff001d025501","80"
"158","1NtqVpiCRWACGEgw8KJzF29sDC9t9nWXiw","50","vout","80"
"159","coinbase","-1","04ffff001d0170","81"
"160","13mYtVxjEiEAtvbG3Mfy1NHwsAVVbVLtVi","50","vout","81"
"161","coinbase","-1","04ffff001d027401","85"
"162","1GXheusMrRbndHuPLFMu8PHd6QYN6yBYy7","50","vout","85"
"163","coinbase","-1","04ffff001d025701","83"
"164","1MF8v5JG6NnE41i5g8iZSHCoYHijmQ94ek","50","vout","83"
"165","coinbase","-1","04ffff001d026f01","84"
"166","1AHL57NfmJT8n8q4AnyoqLiyJHfDBHmtTc","50","vout","84"
"167","coinbase","-1","04ffff001d024901","82"
"168","1CHhL5EaBekfQVRYyWxYhLsZpbdYjpJE5t","50","vout","82"
"169","coinbase","-1","04ffff001d026801","86"
"170","14je86gJp2QKgdSnVC7ZFurpCyeVp6RXxf","50","vout","86"
"171","coinbase","-1","04ffff001d025b01","87"
"172","17qC5cT9SWKt8DcKQ7iNe4nf2qifsnUeAF","50","vout","87"
"173","coinbase","-1","04ffff001d027e01","88"
"174","15bLNWETKsRuAVUBLAnFu2815fAK8bu58X","50","vout","88"
"175","coinbase","-1","04ffff001d021401","89"
"176","1MEcWn2yPjsCuu3xSQa68c2oosGZDpzHjT","50","vout","89"
"177","coinbase","-1","04ffff001d02eb03","90"
"178","1Kjr7yzPLVWFg4nCP7ef1dHKi4C14yZ9uH","50","vout","90"
"179","coinbase","-1","04ffff001d02d603","91"
"180","14QyWYad5GsTmDvcJZD3d2Pjf5FUT1NyMn","50","vout","91"
"181","coinbase","-1","04ffff001d02f403","92"
"182","1H35hhf8qtC2wVeNEWZcEwVnV8SHpY9QAJ","50","vout","92"
"183","coinbase","-1","04ffff001d02da03","93"
"184","1JEYqqKTyFCVNrjNcj72v4csBH613puAVX","50","vout","93"
"185","coinbase","-1","04ffff001d0132","95"
"186","1PHG1AoZJ5yyg6MV2fkqYCuDDik2NTfzfm","50","vout","95"
"187","coinbase","-1","04ffff001d013a","94"
"188","12XPHPCGYz1WgRhquiAfVeAyjZ7Gbdpih3","50","vout","94"
"189","coinbase","-1","04ffff001d013e","96"
"190","1Bq1TLyuvZLvu73eueduUMhBL2QfYDeoNt","50","vout","96"
"191","coinbase","-1","04ffff001d014d","97"
"192","13A1W4jLPP75pzvn2qJ5KyyqG3qPSpb9jM","50","vout","97"
"193","coinbase","-1","04ffff001d012f","98"
"194","1DRzyGtGkXYnFz9n9qxnTFbGpYBv4FNmYM","50","vout","98"
"195","coinbase","-1","04ffff001d02dd00","99"
"196","15z1nJqsrAUchqwQ4hsWnyPru2nUjuuDhR","50","vout","99"
"197","coinbase","-1","04ffff001d0107","100"
"198","1FhKNo8JmNrPKnqJv5rTFMrw98H7soXTXu","50","vout","100"
"199","coinbase","-1","04ffff001d02e200","101"
"200","1ALp4qPqGju9gmupfdRwAEyREN38Uqipyv","50","vout","101"
"201","coinbase","-1","04ffff001d02fe00","105"
"202","1PQhPpysTvkYRpjpHL48KuQTRW7yS2k9Hx","50","vout","105"
"203","coinbase","-1","04ffff001d02e400","103"
"204","13kjsBfe8D7bwmT938DxCLHzjvae6uvHPg","50","vout","103"
"205","coinbase","-1","04ffff001d02fd00","107"
"206","1CbGkbGuvdoZGnywSfq6iV5MBQuaFQZfKb","50","vout","107"
"207","coinbase","-1","04ffff001d02f500","102"
"208","1SLkiCeQwBe56cvKMXmo8dYAe8SmjfrwX","50","vout","102"
"209","coinbase","-1","04ffff001d010b","106"
"210","19B32mm7b5x6HiBCRVpgQZUswbQ29b9YTo","50","vout","106"
"211","coinbase","-1","04ffff001d02fc00","104"
"212","1JKb22MuD4BhZMru2jpdpy8iRATyEDpy33","50","vout","104"
"213","coinbase","-1","04ffff001d020001","112"
"214","1J9HkGKPDd7ek9DA1V4NDEma1F1h7vHi8u","50","vout","112"
"215","coinbase","-1","04ffff001d021501","111"
"216","1PLgv319qXvnmiCAL3pH1dydVQSwrr2F5W","50","vout","111"
"217","coinbase","-1","04ffff001d020501","108"
"218","14pBXdFvEaPy6t4gbnrrQWu86ZYPTivEx3","50","vout","108"
"219","coinbase","-1","04ffff001d02e300","113"
"220","1Dk9PekCU6BkLy5pRHfWvSw791BiVdKBXj","50","vout","113"
"221","coinbase","-1","04ffff001d020a01","109"
"222","16NEqTQenDpSAn18utw6sYD631Cq9znZf7","50","vout","109"
"223","12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S","28","12b5633bad1f9c167d523ad1aa1947b2732a865bf5414eab2f9e5ae5d5c191ba","110"
"224","1ByLSV2gLRcuqUmfdYcpPQH8Npm8cccsFg","10","vout","110"
"225","12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S","18","vout","110"
"226","coinbase","-1","04ffff001d028102","114"
"227","17FNKvUnLaB8zJve72S2E777ZDEZBBRBk8","50","vout","114"
"228","coinbase","-1","04ffff001d02e202","115"
"229","1KfH6XzoKSXrUBXuxbC3KTtPzoWxdkEEgu","50","vout","115"
"230","coinbase","-1","04ffff001d02c502","116"
"231","1HYcRWMoyTDmGXRpq6svaoCURsDhYB8Y1s","50","vout","116"
"232","coinbase","-1","04ffff001d02a002","117"
"233","1GL6i1ty44RnERgqYLKS1CrnhrahW4JhQZ","50","vout","117"
"234","coinbase","-1","04ffff001d02be02","118"
"235","1MycUHutP9zPJsCqhVAWDmj4rbhKvtYE11","50","vout","118"
"236","coinbase","-1","04ffff001d028106","119"
"237","18f9MK9ea4agsZP6P2Dh4uCuyT64qZs4h3","50","vout","119"
"238","coinbase","-1","04ffff001d028806","120"
"239","1KXPk7yJ1sueX2RaN8RAMYUzFVhM5FgDMu","50","vout","120"
"240","coinbase","-1","04ffff001d028206","121"
"241","1BFCFAkFeqp3LY5K5iq19dkcL8Zqe8jUEU","50","vout","121"
"242","coinbase","-1","04ffff001d029b06","122"
"243","19RxKcnMuA1BM2aJvEMdR2kGpMzWWZZsgG","50","vout","122"
"244","coinbase","-1","04ffff001d028b06","123"
"245","12k9bov2grZLs7BjAogBDtDG331R9d3aA7","50","vout","123"
"246","coinbase","-1","04ffff001d02a306","126"
"247","168usSBH4Hav5ivkQ2gYeDd8w6sJsd92zd","50","vout","126"
"248","coinbase","-1","04ffff001d029f06","127"
"249","1BJZGrAk4sNsfdjzi1CkhzszdJ1VdHhnEb","50","vout","127"
"250","coinbase","-1","04ffff001d010c","128"
"251","1CpZmPEGBbH7gUsM1xS31CvaKDE92EiiKg","50","vout","128"
"252","coinbase","-1","04ffff001d02d600","129"
"253","1PmxdAq9UdYqB8TL45asUeV4PxTLiTuNiw","50","vout","129"
"254","coinbase","-1","04ffff001d028c06","124"
"255","1PSPvNhG2pTjN15x2DzZZWs2UG53AVNdQi","50","vout","124"
"256","153h6eE6xRhXuN3pE53gWVfXacAtfyBF8g","50","04256336e9287f3b46508888cf3539dc0ab2fc8803cbe9668749fd18fc5dee85","125"
"257","1LEWwJkDj8xriE87ALzQYcHjTmD8aqDj1f","25","vout","125"
"258","153h6eE6xRhXuN3pE53gWVfXacAtfyBF8g","25","vout","125"
"259","coinbase","-1","04ffff001d02c400","131"
"260","1JDtiTXT4RSPt1kKmzxCWXnxxzhPRzpe2R","50","vout","131"
"261","coinbase","-1","04ffff001d02b600","130"
"262","1DNvGr6KiGzP3SwXs6jLab139Vd3MthtxW","50","vout","130"
"263","coinbase","-1","04ffff001d02d500","132"
"264","1BYhVn7vuUXfBvaJ73bfjic3tQa9h4jBYm","50","vout","132"
"265","coinbase","-1","04ffff001d029700","133"
"266","1HtK4PhN2ctqUa4qxnThHNcwfZUH2PtgQA","50","vout","133"
"267","coinbase","-1","04ffff001d02c700","134"
"268","1CSBrZFSQdjVZAf1FC8mYwDDXQXYhyU6PC","50","vout","134"
"269","coinbase","-1","04ffff001d02f000","135"
"270","1NKZDouK9X3Uwa2vQbtt4WDnG2NUpMqSG3","50","vout","135"
"271","coinbase","-1","04ffff001d012b","136"
"272","1DayUvccL8WV7zjkn26aC3M4hwGwJFyFw4","50","vout","136"
"273","coinbase","-1","04ffff001d02e100","137"
"274","1BzbciDiCbK4Xy7RXgPCdNCruNAU99zykr","50","vout","137"
"275","coinbase","-1","04ffff001d02c900","138"
